"300.00000,-0.45037"
"302.00000,1.34668"
"304.00000,1.55050"
"306.00000,-2.02983"
"308.00000,6.08214"
"310.00000,17.30009"
"312.00000,6.20425"
"314.00000,1.22443"
"316.00000,-3.38839"
"318.00000,7.73879"
"320.00000,39.83332"
"322.00000,43.88533"
"324.00000,46.46099"
"326.00000,51.87676"
"328.00000,64.08948"
"330.00000,95.80463"
"332.00000,112.47859"
"334.00000,110.32868"
"336.00000,105.17910"
"338.00000,106.43520"
"340.00000,113.08679"
"342.00000,145.34563"
"344.00000,170.81133"
"346.00000,166.35201"
"348.00000,156.86523"
"350.00000,157.87054"
"352.00000,144.40234"
"354.00000,104.18561"
"356.00000,66.86694"
"358.00000,71.47403"
"360.00000,72.35777"
"362.00000,58.60831"
"364.00000,50.61509"
"366.00000,56.67004"
"368.00000,56.57985"
"370.00000,47.10151"
"372.00000,34.12165"
"374.00000,25.55814"
"376.00000,26.77143"
"378.00000,29.56855"
"380.00000,35.77223"
"382.00000,32.80256"
"384.00000,11.13846"
"386.00000,11.36744"
"388.00000,7.43930"
"390.00000,12.58897"
"392.00000,37.16788"
"394.00000,31.48240"
"396.00000,25.58025"
"398.00000,26.11664"
"400.00000,36.62612"
"402.00000,63.10009"
"404.00000,75.21021"
"406.00000,73.96481"
"408.00000,83.16770"
"410.00000,112.77657"
"412.00000,144.32600"
"414.00000,174.06276"
"416.00000,194.58339"
"418.00000,215.90900"
"420.00000,252.27304"
"422.00000,283.50241"
"424.00000,319.95178"
"426.00000,365.62943"
"428.00000,411.81027"
"430.00000,453.80618"
"432.00000,496.28452"
"434.00000,534.57111"
"436.00000,566.59314"
"438.00000,599.40692"
"440.00000,637.39233"
"442.00000,665.41864"
"444.00000,683.66449"
"446.00000,690.96631"
"448.00000,671.46588"
"450.00000,638.43298"
"452.00000,591.65009"
"454.00000,540.48846"
"456.00000,502.71365"
"458.00000,471.16568"
"460.00000,430.27539"
"462.00000,378.40353"
"464.00000,328.64337"
"466.00000,290.19214"
"468.00000,245.84029"
"470.00000,203.11577"
"472.00000,171.67120"
"474.00000,153.01305"
"476.00000,146.66751"
"478.00000,113.33966"
"480.00000,80.43461"
"482.00000,86.91090"
"484.00000,101.55370"
"486.00000,71.11546"
"488.00000,48.51368"
"490.00000,53.08760"
"492.00000,43.53451"
"494.00000,24.24396"
"496.00000,26.21052"
"498.00000,43.06688"
"500.00000,50.95264"
"502.00000,47.10470"
"504.00000,44.05557"
"506.00000,41.50008"
"508.00000,44.61747"
"510.00000,52.49640"
"512.00000,40.23008"
"514.00000,27.66609"
"516.00000,17.90592"
"518.00000,18.90817"
"520.00000,42.99664"
"522.00000,36.12482"
"524.00000,39.03399"
"526.00000,57.89159"
"528.00000,56.60211"
"530.00000,55.27514"
"532.00000,56.46766"
"534.00000,68.68195"
"536.00000,77.46039"
"538.00000,55.36961"
"540.00000,45.33165"
"542.00000,55.25859"
"544.00000,65.81939"
"546.00000,66.10274"
"548.00000,67.48036"
"550.00000,61.40155"
"552.00000,43.63111"
"554.00000,30.55045"
"556.00000,39.97630"
"558.00000,45.59938"
"560.00000,27.96149"
"562.00000,34.69253"
"564.00000,78.91172"
"566.00000,60.35782"
"568.00000,54.11799"
"570.00000,71.13564"
"572.00000,85.92883"
"574.00000,105.11877"
"576.00000,117.53127"
"578.00000,117.53817"
"580.00000,114.92017"
"582.00000,126.02573"
"584.00000,156.25174"
"586.00000,190.77611"
"588.00000,204.45245"
"590.00000,210.98300"
"592.00000,252.40117"
"594.00000,309.67972"
"596.00000,340.24103"
"598.00000,347.70044"
"600.00000,362.05536"
"602.00000,382.67831"
"604.00000,398.27448"
"606.00000,403.39407"
"608.00000,405.14474"
"610.00000,410.14053"
"612.00000,403.00485"
"614.00000,387.15567"
"616.00000,373.83551"
"618.00000,358.64743"
"620.00000,324.64804"
"622.00000,297.52945"
"624.00000,259.54190"
"626.00000,196.57118"
"628.00000,139.61920"
"630.00000,125.11375"
"632.00000,128.54225"
"634.00000,118.33891"
"636.00000,100.64559"
"638.00000,108.19808"
"640.00000,120.16290"
"642.00000,116.91724"
"644.00000,105.27395"
"646.00000,103.03602"
"648.00000,103.90314"
"650.00000,96.82307"
"652.00000,81.10648"
"654.00000,68.61684"
"656.00000,70.29779"
"658.00000,72.05691"
"660.00000,78.20826"
"662.00000,93.59820"
"664.00000,117.25342"
"666.00000,157.25893"
"668.00000,184.72261"
"670.00000,254.45117"
"672.00000,394.01367"
"674.00000,527.77625"
"676.00000,757.44507"
"678.00000,1175.87524"
"680.00000,1787.06140"
"682.00000,2440.73120"
"684.00000,2818.83545"
"686.00000,2762.03589"
"688.00000,2327.51074"
"690.00000,1730.41895"
"692.00000,1210.05457"
"694.00000,853.88385"
"696.00000,669.68628"
"698.00000,595.96008"
"700.00000,553.68494"
"702.00000,530.63098"
"704.00000,515.11896"
"706.00000,492.16730"
"708.00000,451.40839"
"710.00000,396.65652"
"712.00000,351.83493"
"714.00000,322.74982"
"716.00000,309.04840"
"718.00000,305.93781"
"720.00000,297.77994"
"722.00000,308.83902"
"724.00000,345.01410"
"726.00000,394.88016"
"728.00000,467.91718"
"730.00000,610.10394"
"732.00000,812.08936"
"734.00000,1112.80591"
"736.00000,1537.57458"
"738.00000,1921.99780"
"740.00000,2095.78247"
"742.00000,1946.09448"
"744.00000,1562.03650"
"746.00000,1194.73621"
"748.00000,878.03296"
"750.00000,659.54993"
"752.00000,543.99176"
"754.00000,479.45749"
"756.00000,438.90732"
"758.00000,407.84769"
"760.00000,422.32996"
"762.00000,485.84296"
"764.00000,542.14612"
"766.00000,623.99207"
"768.00000,796.85461"
"770.00000,1063.65771"
"772.00000,1369.80750"
"774.00000,1654.03650"
"776.00000,1764.62085"
"778.00000,1626.60168"
"780.00000,1307.41541"
"782.00000,959.56525"
"784.00000,682.02124"
"786.00000,515.10016"
"788.00000,421.21207"
"790.00000,344.18048"
"792.00000,290.88586"
"794.00000,259.09866"
"796.00000,244.36282"
"798.00000,231.87337"
"800.00000,212.91319"
"802.00000,224.89926"
"804.00000,212.48730"
"806.00000,195.62593"
"808.00000,227.90521"
"810.00000,252.37938"
"812.00000,312.23767"
"814.00000,395.27155"
"816.00000,451.19653"
"818.00000,458.60257"
"820.00000,423.08688"
"822.00000,360.16791"
"824.00000,269.98584"
"826.00000,183.46857"
"828.00000,174.29066"
"830.00000,154.55223"
"832.00000,116.20001"
"834.00000,100.79532"
"836.00000,106.78154"
"838.00000,106.36761"
"840.00000,101.64425"
"842.00000,101.26794"
"844.00000,101.29804"
"846.00000,92.84674"
"848.00000,90.99509"
"850.00000,89.08569"
"852.00000,81.88501"
"854.00000,79.06852"
"856.00000,73.62731"
"858.00000,64.68635"
"860.00000,66.01517"
"862.00000,77.26965"
"864.00000,72.62664"
"866.00000,78.75209"
"868.00000,74.80785"
"870.00000,55.97656"
"872.00000,56.87507"
"874.00000,64.12434"
"876.00000,89.77555"
"878.00000,90.65391"
"880.00000,69.03433"
"882.00000,123.17738"
"884.00000,98.96790"
"886.00000,75.53024"
"888.00000,100.78368"
"890.00000,72.64339"
"892.00000,64.58986"
"894.00000,69.88853"
"896.00000,72.36903"
"898.00000,72.67062"
"900.00000,67.08183"
"902.00000,78.95557"
"904.00000,89.01971"
"906.00000,79.92758"
"908.00000,71.14407"
"910.00000,83.54528"
"912.00000,87.96685"
"914.00000,84.26719"
"916.00000,81.10485"
"918.00000,61.46730"
"920.00000,66.31390"
"922.00000,64.18620"
"924.00000,49.97792"
"926.00000,66.95405"
"928.00000,86.66910"
"930.00000,82.87895"
"932.00000,69.30140"
"934.00000,75.07302"
"936.00000,88.83026"
"938.00000,42.61986"
"940.00000,47.23895"
"942.00000,87.95286"
"944.00000,54.57164"
"946.00000,107.96465"
"948.00000,129.89040"
"950.00000,140.20438"
"952.00000,216.92001"
"954.00000,269.88870"
"956.00000,283.88885"
"958.00000,271.11734"
"960.00000,241.44096"
"962.00000,205.62813"
"964.00000,185.05136"
"966.00000,171.41022"
"968.00000,139.78355"
"970.00000,105.74231"
"972.00000,115.40696"
"974.00000,113.57490"
"976.00000,169.70847"
"978.00000,177.83054"
"980.00000,43.50972"
"982.00000,111.64867"
"984.00000,125.43143"
"986.00000,76.12369"
"988.00000,95.33416"
"990.00000,89.70930"
"992.00000,97.37695"
"994.00000,136.83304"
"996.00000,204.47832"
"998.00000,286.01782"
"1000.00000,341.71075"
"1002.00000,341.64807"
"1004.00000,301.94345"
"1006.00000,249.32668"
"1008.00000,190.26869"
"1010.00000,148.24446"
"1012.00000,147.14571"
"1014.00000,150.04176"
"1016.00000,119.89378"
"1018.00000,113.36565"
"1020.00000,86.77909"
"1022.00000,84.59034"
"1024.00000,120.15237"
"1026.00000,107.74835"
"1028.00000,118.87150"
"1030.00000,134.41003"
"1032.00000,140.61115"
"1034.00000,143.99361"
"1036.00000,106.26773"
"1038.00000,111.90441"
"1040.00000,119.17145"
"1042.00000,89.62558"
"1044.00000,96.18039"
"1046.00000,104.81112"
"1048.00000,96.21432"
"1050.00000,81.80145"
"1052.00000,77.49783"
"1054.00000,77.37125"
"1056.00000,60.66875"
"1058.00000,58.93015"
"1060.00000,59.46631"
"1062.00000,17.72381"
"1064.00000,57.89185"
"1066.00000,61.46672"
"1068.00000,48.03885"
"1070.00000,112.82439"
"1072.00000,113.03736"
"1074.00000,135.29227"
"1076.00000,220.96410"
"1078.00000,323.10190"
"1080.00000,395.38208"
"1082.00000,444.08890"
"1084.00000,451.59369"
