"300.00000,43.51386"
"302.00000,15.23228"
"304.00000,3.22567"
"306.00000,1.39112"
"308.00000,10.57774"
"310.00000,25.61697"
"312.00000,30.62034"
"314.00000,29.76324"
"316.00000,20.76212"
"318.00000,10.21751"
"320.00000,9.59999"
"322.00000,17.96628"
"324.00000,26.71287"
"326.00000,30.14177"
"328.00000,41.37206"
"330.00000,73.98525"
"332.00000,95.40487"
"334.00000,86.93484"
"336.00000,86.23391"
"338.00000,121.65204"
"340.00000,152.10138"
"342.00000,187.24768"
"344.00000,224.91628"
"346.00000,244.13039"
"348.00000,233.49641"
"350.00000,212.28316"
"352.00000,174.25046"
"354.00000,125.10622"
"356.00000,89.43673"
"358.00000,81.20789"
"360.00000,76.56554"
"362.00000,71.78170"
"364.00000,64.64716"
"366.00000,49.43564"
"368.00000,46.51681"
"370.00000,48.65664"
"372.00000,44.54066"
"374.00000,40.58603"
"376.00000,50.72658"
"378.00000,49.89754"
"380.00000,38.13807"
"382.00000,28.61475"
"384.00000,27.25641"
"386.00000,33.48495"
"388.00000,30.02011"
"390.00000,20.78375"
"392.00000,19.33579"
"394.00000,20.99827"
"396.00000,19.54244"
"398.00000,27.46154"
"400.00000,43.48688"
"402.00000,47.40992"
"404.00000,38.63591"
"406.00000,39.05117"
"408.00000,32.96618"
"410.00000,19.84673"
"412.00000,43.67877"
"414.00000,54.80305"
"416.00000,59.45360"
"418.00000,72.78876"
"420.00000,84.93195"
"422.00000,101.84212"
"424.00000,128.36168"
"426.00000,163.80467"
"428.00000,189.72314"
"430.00000,188.25726"
"432.00000,208.84734"
"434.00000,246.95807"
"436.00000,280.97165"
"438.00000,300.07227"
"440.00000,292.45786"
"442.00000,306.28317"
"444.00000,316.62793"
"446.00000,302.74625"
"448.00000,313.59738"
"450.00000,301.93573"
"452.00000,286.99887"
"454.00000,267.75400"
"456.00000,223.51472"
"458.00000,208.49249"
"460.00000,197.50616"
"462.00000,173.92300"
"464.00000,138.47266"
"466.00000,95.95215"
"468.00000,92.58544"
"470.00000,114.70564"
"472.00000,118.72666"
"474.00000,92.17067"
"476.00000,75.06189"
"478.00000,73.30145"
"480.00000,77.52297"
"482.00000,77.03840"
"484.00000,67.79784"
"486.00000,62.18655"
"488.00000,61.25513"
"490.00000,57.34819"
"492.00000,46.89964"
"494.00000,39.08801"
"496.00000,43.73420"
"498.00000,47.36884"
"500.00000,46.78692"
"502.00000,57.17913"
"504.00000,53.02547"
"506.00000,55.09045"
"508.00000,53.11877"
"510.00000,26.58520"
"512.00000,23.94279"
"514.00000,39.49496"
"516.00000,44.88960"
"518.00000,37.16061"
"520.00000,35.08958"
"522.00000,18.90870"
"524.00000,11.57829"
"526.00000,37.85337"
"528.00000,77.41014"
"530.00000,77.41864"
"532.00000,64.16072"
"534.00000,62.34431"
"536.00000,66.37483"
"538.00000,60.24035"
"540.00000,52.77983"
"542.00000,59.16431"
"544.00000,58.00513"
"546.00000,36.41137"
"548.00000,39.24538"
"550.00000,33.92949"
"552.00000,29.36981"
"554.00000,34.44212"
"556.00000,26.38280"
"558.00000,27.02610"
"560.00000,27.87077"
"562.00000,32.26656"
"564.00000,46.51423"
"566.00000,47.18273"
"568.00000,45.60144"
"570.00000,57.81027"
"572.00000,70.66700"
"574.00000,61.12321"
"576.00000,58.02765"
"578.00000,53.79059"
"580.00000,60.38854"
"582.00000,88.97753"
"584.00000,103.12120"
"586.00000,106.76696"
"588.00000,105.44654"
"590.00000,113.45400"
"592.00000,148.28421"
"594.00000,187.05707"
"596.00000,190.83241"
"598.00000,183.12239"
"600.00000,201.42459"
"602.00000,219.70557"
"604.00000,236.42847"
"606.00000,249.17064"
"608.00000,239.77370"
"610.00000,209.70535"
"612.00000,220.69009"
"614.00000,220.42043"
"616.00000,212.90816"
"618.00000,211.02640"
"620.00000,152.72676"
"622.00000,145.77217"
"624.00000,158.07567"
"626.00000,128.86664"
"628.00000,92.47397"
"630.00000,94.92177"
"632.00000,89.45737"
"634.00000,93.19221"
"636.00000,118.06305"
"638.00000,105.04959"
"640.00000,190.03453"
"642.00000,188.92154"
"644.00000,105.96696"
"646.00000,162.30263"
"648.00000,129.66579"
"650.00000,98.74178"
"652.00000,103.17197"
"654.00000,92.81816"
"656.00000,104.04372"
"658.00000,104.84518"
"660.00000,105.00075"
"662.00000,125.70924"
"664.00000,175.92419"
"666.00000,268.09274"
"668.00000,327.33286"
"670.00000,404.92630"
"672.00000,580.14459"
"674.00000,814.15961"
"676.00000,1155.17920"
"678.00000,1765.32678"
"680.00000,2654.76221"
"682.00000,3550.87476"
"684.00000,4056.98120"
"686.00000,3973.22974"
"688.00000,3353.64917"
"690.00000,2501.90283"
"692.00000,1801.44629"
"694.00000,1309.78540"
"696.00000,1023.71112"
"698.00000,904.86316"
"700.00000,866.66718"
"702.00000,825.31610"
"704.00000,772.57404"
"706.00000,714.38220"
"708.00000,655.19696"
"710.00000,598.03003"
"712.00000,518.97192"
"714.00000,444.78961"
"716.00000,417.74780"
"718.00000,430.46439"
"720.00000,422.56799"
"722.00000,455.69104"
"724.00000,481.87863"
"726.00000,509.59564"
"728.00000,695.23877"
"730.00000,939.23456"
"732.00000,1220.68738"
"734.00000,1636.96936"
"736.00000,2233.31665"
"738.00000,2810.27075"
"740.00000,3065.47778"
"742.00000,2858.26416"
"744.00000,2316.82959"
"746.00000,1727.86792"
"748.00000,1242.06702"
"750.00000,966.96936"
"752.00000,846.99188"
"754.00000,745.86920"
"756.00000,671.43665"
"758.00000,637.54022"
"760.00000,660.20935"
"762.00000,730.03284"
"764.00000,820.43121"
"766.00000,972.76172"
"768.00000,1224.54749"
"770.00000,1607.60901"
"772.00000,2089.37207"
"774.00000,2498.02295"
"776.00000,2630.82935"
"778.00000,2396.94165"
"780.00000,1912.91907"
"782.00000,1423.63123"
"784.00000,1031.50513"
"786.00000,809.62640"
"788.00000,699.35022"
"790.00000,586.43683"
"792.00000,485.60883"
"794.00000,426.42273"
"796.00000,411.87817"
"798.00000,395.84375"
"800.00000,339.80829"
"802.00000,325.41071"
"804.00000,306.02954"
"806.00000,293.86935"
"808.00000,318.72284"
"810.00000,304.35461"
"812.00000,427.65497"
"814.00000,565.17926"
"816.00000,598.63361"
"818.00000,622.97784"
"820.00000,529.19989"
"822.00000,412.38977"
